account_code,name_ro,class_code,group_code,grade,kind,status,account_class,normal_balance,allows_subaccounts,parent_code,valid_from
111,Imobilizări necorporale în curs de execuţie,1,11,i,activ,obligatoriu,asset,debit,true,,2020-01-01
112,Imobilizări necorporale în exploatare,1,11,i,activ,obligatoriu,asset,debit,true,,2020-01-01
1121,"Concesiuni, licenţe şi mărci",1,11,ii,activ,recomandare,asset,debit,false,112,2020-01-01
1122,Drepturi de autor şi titluri de protecţie,1,11,ii,activ,recomandare,asset,debit,false,112,2020-01-01
1123,Programe informatice,1,11,ii,activ,recomandare,asset,debit,false,112,2020-01-01
1124,Alte imobilizări necorporale,1,11,ii,activ,recomandare,asset,debit,false,112,2020-01-01
113,Amortizarea imobilizărilor necorporale,1,11,i,rectificativ_pasiv,obligatoriu,asset,credit,true,,2020-01-01
1131,"Amortizarea concesiunilor, licenţelor şi mărcilor",1,11,ii,activ,recomandare,asset,debit,false,113,2020-01-01
1132,Amortizarea drepturilor de autor şi titlurilor de protecţie,1,11,ii,activ,recomandare,asset,debit,false,113,2020-01-01
1133,Amortizarea programelor informatice,1,11,ii,activ,recomandare,asset,debit,false,113,2020-01-01
1134,Amortizarea altor imobilizări necorporale,1,11,ii,activ,recomandare,asset,debit,false,113,2020-01-01
114,Deprecierea imobilizărilor necorporale,1,11,i,rectificativ_pasiv,obligatoriu,asset,credit,true,,2020-01-01
115,Fond comercial pozitiv,1,11,i,activ,obligatoriu,asset,debit,true,,2020-01-01
116,Fond comercial negativ,1,11,i,activ,obligatoriu,asset,debit,true,,2020-01-01
117,Deprecierea fondului comercial pozitiv,1,11,i,rectificativ_pasiv,obligatoriu,asset,credit,true,,2020-01-01
121,Imobilizări corporale în curs de execuţie,1,12,i,activ,obligatoriu,asset,debit,true,,2020-01-01
1211,Construcţii în curs de execuţie,1,12,ii,activ,recomandare,asset,debit,false,121,2020-01-01
1212,Utilaj destinat instalării,1,12,ii,activ,recomandare,asset,debit,false,121,2020-01-01
1213,Imobilizări corporale pînă la punerea în utilizare,1,12,ii,activ,recomandare,asset,debit,false,121,2020-01-01
1214,Costuri ulterioare în curs de execuţie,1,12,ii,activ,recomandare,asset,debit,false,121,2020-01-01
122,Terenuri,1,12,i,activ,obligatoriu,asset,debit,true,,2020-01-01
1221,Terenuri în curs de pregătire pentru utilizare prestabilită,1,12,ii,activ,recomandare,asset,debit,false,122,2020-01-01
1222,Terenuri fără construcţii,1,12,ii,activ,recomandare,asset,debit,false,122,2020-01-01
1223,Terenuri cu construcţii,1,12,ii,activ,recomandare,asset,debit,false,122,2020-01-01
1224,Terenuri cu zăcăminte,1,12,ii,activ,recomandare,asset,debit,false,122,2020-01-01
1225,Terenuri cu plantaţii perene,1,12,ii,activ,recomandare,asset,debit,false,122,2020-01-01
1226,Terenuri primite în gestiune economică,1,12,ii,activ,recomandare,asset,debit,false,122,2020-01-01
1227,Alte terenuri,1,12,ii,activ,recomandare,asset,debit,false,122,2020-01-01
123,Mijloace fixe,1,12,i,activ,obligatoriu,asset,debit,true,,2020-01-01
1231,Clădiri,1,12,ii,activ,recomandare,asset,debit,false,123,2020-01-01
1232,Construcţii speciale,1,12,ii,activ,recomandare,asset,debit,false,123,2020-01-01
1233,"Maşini, utilaje şi instalaţii tehnice",1,12,ii,activ,recomandare,asset,debit,false,123,2020-01-01
1234,Mijloace de transport,1,12,ii,activ,recomandare,asset,debit,false,123,2020-01-01
1235,Inventar şi mobilier,1,12,ii,activ,recomandare,asset,debit,false,123,2020-01-01
1236,Costuri ulterioare aferente obiectelor neînregistrate în bilanţ,1,12,ii,activ,recomandare,asset,debit,false,123,2020-01-01
1237,Mijloace fixe primite în leasing financiar,1,12,ii,activ,recomandare,asset,debit,false,123,2020-01-01
1238,Mijloace fixe primite în gestiune economică,1,12,ii,activ,recomandare,asset,debit,false,123,2020-01-01
1239,Alte mijloace fix,1,12,ii,activ,recomandare,asset,debit,false,123,2020-01-01
124,Amortizarea mijloacelor fixe,1,12,i,rectificativ_pasiv,obligatoriu,asset,credit,true,,2020-01-01
1241,Amortizarea clădirilor,1,12,ii,activ,recomandare,asset,debit,false,124,2020-01-01
1242,Amortizarea construcţiilor speciale,1,12,ii,activ,recomandare,asset,debit,false,124,2020-01-01
