role,account_code,valid_from,source
TVA_DEDUCTIBILA,2252,2020-01-01,Plan general de conturi
TVA_COLECTATA,5344,2020-01-01,Plan general de conturi
IMPOZIT_VENIT_ENTITATE,5341,2020-01-01,Plan general de conturi
IMPOZIT_VENIT_SALARIU,5342,2020-01-01,Plan general de conturi
IMPOZIT_VENIT_RETINUT_SURSA,5343,2020-01-01,Plan general de conturi
CHELTUIALA_IMPOZIT_VENIT,731,2020-01-01,Plan general de conturi
CREANTE_COMERCIALE_TARA,2211,2020-01-01,Plan general de conturi
CREANTE_COMERCIALE_STRAINATATE,2212,2020-01-01,Plan general de conturi
DATORII_COMERCIALE_TARA,5211,2020-01-01,Plan general de conturi
DATORII_COMERCIALE_STRAINATATE,5212,2020-01-01,Plan general de conturi
AVANS_PRIMIT_TARA,5231,2020-01-01,Plan general de conturi
AVANS_PRIMIT_STRAINATATE,5232,2020-01-01,Plan general de conturi
AVANS_ACORDAT_STOCURI,2243,2020-01-01,Plan general de conturi
VENIT_PRODUSE,6111,2020-01-01,Plan general de conturi
VENIT_MARFURI,6112,2020-01-01,Plan general de conturi
VENIT_SERVICII,6113,2020-01-01,Plan general de conturi
COST_PRODUSE,7111,2020-01-01,Plan general de conturi
COST_MARFURI,7112,2020-01-01,Plan general de conturi
COST_SERVICII,7113,2020-01-01,Plan general de conturi
STOC_MATERIALE,2111,2020-01-01,Plan general de conturi
STOC_PRODUSE_FINITE,2161,2020-01-01,Plan general de conturi
STOC_MARFURI,2171,2020-01-01,Plan general de conturi
CASA_MDL,2411,2020-01-01,Plan general de conturi
CASA_VALUTA,2412,2020-01-01,Plan general de conturi
CONT_CURENT_MDL,2421,2020-01-01,Plan general de conturi
CONT_CURENT_VALUTA,2431,2020-01-01,Plan general de conturi
NUMERAR_IN_EXPEDITIE,245,2020-01-01,Plan general de conturi
DIFERENTA_CURS_FAVORABILA,6226,2020-01-01,Plan general de conturi
DIFERENTA_CURS_NEFAVORABILA,7224,2020-01-01,Plan general de conturi
RETUR_REDUCERI,7128,2020-01-01,Plan general de conturi
CREANTE_COMPROMISE_AJUSTARE,222,2020-01-01,Plan general de conturi
CHELTUIALA_CREANTE_COMERCIALE_COMPROMISE,7127,2020-01-01,Plan general de conturi
IESIRE_IMOBILIZARI_NECORPORALE,7211,2020-01-01,Plan general de conturi
AMORTIZARE_IMOB_NECORPORALE,113,2020-01-01,Plan general de conturi
PRODUCTIE_DE_BAZA,811,2020-01-01,Plan general de conturi
COSTURI_INDIRECTE_PRODUCTIE,821,2020-01-01,Plan general de conturi
FORMULARE_REGIM_SPECIAL,918,2020-01-01,Plan general de conturi
REZULTAT_FINANCIAR_TOTAL,351,2020-01-01,Plan general de conturi
PROFIT_NET_PERIOADA,333,2020-01-01,Plan general de conturi
PROFIT_UTILIZAT_PERIOADA,334,2020-01-01,Plan general de conturi
PROFIT_NEREPARTIZAT_ANI_PRECEDENTI,332,2020-01-01,Plan general de conturi
